City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
255,Novyy Urgal,RU,51.0736,132.5642,20.82,94,100,3.36,snow
256,Lagoa,PT,39.05,-27.9833,61.07,63,3,14.63,clear sky
257,Yizheng,CN,24.6706,103.4296,53.8,68,0,4.27,clear sky
258,Weinan,CN,34.5036,109.5089,52.2,76,100,14.56,overcast clouds
259,Eureka,US,40.8021,-124.1637,41.61,97,100,3.29,overcast clouds
260,Chernaya Kholunitsa,RU,58.8511,51.7154,41.22,99,100,5.64,overcast clouds
261,Ewa Beach,US,21.3156,-158.0072,76.98,74,20,5.75,few clouds
262,Zonalnaya Stantsiya,RU,56.4269,85.0221,31.24,94,75,11.18,light shower snow
263,Saint-Augustin,CA,51.226,-58.6502,28.02,54,39,12.48,scattered clouds
264,Apt,FR,43.8833,5.4,68.29,49,3,4.5,clear sky
265,Tokoroa,NZ,-38.2333,175.8667,61.95,83,100,1.01,overcast clouds
266,Jacksonville,US,30.3322,-81.6556,74.1,84,100,12.66,overcast clouds
267,Tommot,RU,58.9564,126.2925,19.58,86,100,11.12,overcast clouds
268,Futtsu,JP,35.3053,139.8186,63.19,80,54,9.64,broken clouds
269,Tabuk,PH,17.4189,121.4443,76.6,89,35,2.66,scattered clouds
270,Vestmannaeyjar,IS,63.4427,-20.2734,45.59,93,75,13.8,broken clouds
271,Praia Da Vitoria,PT,38.7333,-27.0667,64.76,77,20,11.39,few clouds
272,Geraldton,AU,-28.7667,114.6,61.21,55,2,19.57,clear sky
273,Kenai,US,60.5544,-151.2583,30.29,100,20,9.22,few clouds
274,Arinos,BR,-15.9169,-46.1056,80.51,63,100,1.88,overcast clouds
275,Atar,MR,20.5169,-13.0499,89.44,9,99,6.24,overcast clouds
276,Kashi,CN,39.4547,75.9797,47.41,36,20,4.47,few clouds
277,Satka,RU,55.0425,59.04,34.93,97,100,12.37,light snow
278,Yenagoa,NG,4.9247,6.2642,87.08,61,100,1.1,light rain
279,Zatyshshya,UA,47.3335,29.8733,54.03,63,100,8.34,overcast clouds
280,Fort Nelson,CA,58.8053,-122.7002,7.95,92,100,1.01,overcast clouds
281,Bend,US,44.0582,-121.3153,28.49,75,20,5.99,few clouds
282,Melnikovo,RU,56.5558,84.085,31.24,96,100,8.08,light snow
283,Half Moon Bay,US,37.4636,-122.4286,50.99,86,0,3.44,clear sky
284,San Patricio,US,28.017,-97.5169,76.86,92,18,5.46,few clouds
285,Carahue,CL,-38.7,-73.1667,55.99,96,99,2.42,overcast clouds
286,Shelburne,CA,44.0787,-80.2041,55.85,76,100,9.57,overcast clouds
287,Lenoir,US,35.2335,-77.6497,75.36,94,100,8.05,overcast clouds
288,Port Blair,IN,11.6667,92.75,82.44,74,40,2.3,mist
289,Constantine,DZ,36.365,6.6147,74.61,31,0,5.75,clear sky
290,Esperance,AU,-33.8667,121.9,53.44,74,96,21.92,overcast clouds
291,Rocha,UY,-34.4833,-54.3333,69.06,72,61,10.22,broken clouds
292,Sabang,ID,5.8933,95.3214,79.65,79,100,8.97,overcast clouds
293,Rabo De Peixe,PT,37.8,-25.5833,65.28,97,20,10.36,few clouds
294,Kavieng,PG,-2.5744,150.7967,78.49,86,100,7.07,overcast clouds
295,Trincomalee,LK,8.5711,81.2335,79.59,82,100,5.53,overcast clouds
296,Valparaiso,CL,-33.0393,-71.6273,63.0,81,100,4.61,overcast clouds
297,Shirokiy,RU,49.758,129.523,24.94,98,100,1.63,light snow
298,Baghdad,IQ,33.3406,44.4009,84.11,21,0,11.5,clear sky
299,Tambovka,RU,50.0969,128.0489,21.63,98,96,7.52,overcast clouds
300,Shingu,JP,33.7333,135.9833,58.95,80,4,6.04,clear sky
301,Ahipara,NZ,-35.1667,173.1667,62.29,87,60,6.38,broken clouds
302,Kaifeng,CN,34.7911,114.3483,63.32,79,69,5.66,broken clouds
303,Cidreira,BR,-30.1811,-50.2056,66.69,85,100,13.09,overcast clouds
304,Inuvik,CA,68.3499,-133.7218,16.66,92,100,2.3,light snow
305,Poum,NC,-20.2333,164.0167,75.88,77,100,11.43,overcast clouds
306,Sept-Iles,CA,50.2001,-66.3821,35.6,64,100,4.61,overcast clouds
307,Kuah,MY,6.3265,99.8432,82.38,78,20,5.75,moderate rain
308,Lasa,IT,46.6166,10.7002,58.08,72,93,1.39,overcast clouds
309,Guelph,CA,43.5501,-80.2497,52.48,74,100,5.75,overcast clouds
310,Omboue,GA,-1.5746,9.2618,83.95,64,77,7.29,broken clouds
311,Lalawigan,PH,11.5892,125.4697,80.06,86,77,3.15,broken clouds
312,Mareeba,AU,-17.0,145.4333,74.12,86,12,3.04,few clouds
313,Roebourne,AU,-20.7833,117.1333,76.05,55,0,22.03,clear sky
314,Sompeta,IN,18.9333,84.6,77.31,66,97,6.44,overcast clouds
315,Port Lincoln,AU,-34.7333,135.8667,60.94,83,93,14.41,overcast clouds
316,Steinbach,DE,50.1667,8.5667,57.2,90,75,3.44,fog
317,Korla,CN,41.7597,86.1469,40.75,42,1,4.5,clear sky
318,Shitanjing,CN,39.2342,106.3439,36.81,39,100,16.04,overcast clouds
319,Priyutnoye,RU,46.1011,43.5072,53.96,53,55,11.88,broken clouds
320,Koupela,BF,12.1794,-0.3517,92.75,18,99,4.43,overcast clouds
321,Buesaco,CO,1.3902,-77.1598,61.05,77,75,0.0,broken clouds
322,Petrivka,UA,46.9695,30.9591,48.27,88,100,6.73,overcast clouds
323,Mount Gambier,AU,-37.8333,140.7667,53.71,86,82,9.06,broken clouds
324,Tomatlan,MX,19.9333,-105.25,65.37,89,24,3.29,few clouds
325,Talnakh,RU,69.4865,88.3972,4.21,96,100,9.42,light snow
326,Broome,US,42.2506,-75.833,56.17,86,40,8.05,scattered clouds
327,Byron Bay,AU,-28.65,153.6167,65.95,74,75,8.37,broken clouds
328,Bayan,CN,46.0833,127.4,41.81,55,99,11.83,overcast clouds
329,Malpe,IN,13.35,74.7167,85.3,70,89,3.38,overcast clouds
330,Gachala,CO,4.6924,-73.5204,62.1,88,55,1.99,broken clouds
331,Rawson,AR,-43.3002,-65.1023,52.09,93,75,2.3,broken clouds
332,Berlevag,NO,70.8578,29.0864,35.6,80,100,12.66,light rain
333,Agadez,NE,19.75,10.25,79.9,20,56,7.72,broken clouds
