City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
661,Minjur,IN,82.42,overcast clouds,13.2667,80.2667,Whitefield Integrated Residential Township
664,Formosa Do Rio Preto,BR,87.69,broken clouds,-11.0483,-45.1931,Porto Center Hotel
665,San Felipe,VE,78.82,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
667,Ambulu,ID,75.88,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
668,Stabat,ID,80.8,overcast clouds,3.761,98.4513,Link VII damai
670,Puerto Ayacucho,VE,80.02,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
674,Impfondo,CG,84.18,light rain,1.6381,18.0667,Auberge La Place de Jules
675,Sulangan,PH,83.28,few clouds,11.1373,123.7228,Maia's Beach Resort
677,Luganville,VU,79.21,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
682,Bull Savanna,JM,76.73,overcast clouds,17.8868,-77.5902,Big Red's
